item_id,item_name,item_description,delivery_price,instore_price,tax_rate,allergens,calories,hfss,max_quantity,age_restricted,plu,barcodes,ian,classifications,replacement_eligible,substitution_eligible,internal_name,dietary_information,returnable,irish_drs_deposit_fee,irish_drs_items_per_pack
26f8dabb-53f1-4032-a72b-ffa7930f93c6,1800 Añejo Tequila,Arp.,65,,0,,,false,,true,,,,,true,true,1800 Añejo Tequila,,,,
2beadf21-b0b0-4ec5-aad7-09a6505b935d,1928 Prosecco Doc Frizzante Carvicchioli E Figli,Arp.,24.95,,0,,,false,,false,,,,,true,true,1928 Prosecco Doc Frizzante Carvicchioli E Figli,,,,
23a1c00f-b421-4f85-8d26-3e3baabcde28,3 Wooly Sheep Sauvignon Blanc,Arp.,20.99,,0,,,false,,false,,,,,true,true,3 Wooly Sheep Sauvignon Blanc,,,,
25af7d0b-f50f-4371-9cc3-e00542f3b10a,A Winter's Tale Medium Sweet Sherry,Arp.,20,,0,,,false,,false,,,,,true,true,A Winter's Tale Medium Sweet Sherry,,,,
f623fda4-4024-4890-97d1-89393d7d9a6c,Absolut Vodka,Arp.,37.5,,0,,,false,,true,,,,,true,true,Absolut Vodka,,,,
cb92c7bf-f689-48b9-9a4b-a55303a2f6c9,Asahi Super Dry,Arp.,4.9,,0,,,false,,true,,,,,true,true,Asahi Super Dry,,,,
2ae6324a-fdfe-48fb-8b64-37430aab5b1b,Assyrtiko Papagiannakos,Arp.,25,,0,,,false,,false,,,,,true,true,Assyrtiko Papagiannakos,,,,
3d96405e-6711-407f-aedc-e424c0ff31e2,Augustiner Lagerbier Hell,Arp.,4.2,,0,,,false,,true,,,,,true,true,Augustiner Lagerbier Hell,,,,
1956369f-2520-400c-b09b-7ba4b5d3b391,Barahonda Organic Monastrell-merlot 2018,Arp.,23.99,,0,,,false,,false,,,,,true,true,Barahonda Organic Monastrell-merlot 2018,,,,
f24b59ba-c89d-4a59-8d6f-6af5966e3899,Bargemone Rosé,Arp.,18.99,,0,,,false,,false,,,,,true,true,Bargemone Rosé,,,,
09795ad8-a743-47c8-96c3-ac484d824279,Barolo Docg Patres,Arp.,36.95,,0,,,false,,false,,,,,true,true,Barolo Docg Patres,,,,
9d0a79ac-1c50-47f3-a2d4-b42d962b317f,Belvedere Vodka,Arp.,62,,0,,,false,,true,,,,,true,true,Belvedere Vodka,,,,
63c703c6-6e64-49bc-ab22-b0b81cdd89ac,Bertani Valpolicella Ripasso,Arp.,26.94,,0,,,false,,false,,,,,true,true,Bertani Valpolicella Ripasso,,,,
f3114dc4-cde3-4ab0-bf03-ae2315833db4,Bira Moretti L'autentica,Arp.,12.95,,0,,,false,,true,,,,,true,true,Bira Moretti L'autentica,,,,
c0b124dc-78dd-4efe-b61a-48e7269d2c7a,Bira Moretti Sale Di Mare 4*330ML Pack,Arp.,12.95,,0,,,false,,true,,,,,true,true,Bira Moretti Sale Di Mare 4*330ML Pack,,,,
3b247bd1-d732-4164-8cd4-7637edc4b848,Blue Spot Single Pot Still Irish Whiskey,Arp.,115,,0,,,false,,true,,,,,true,true,Blue Spot Single Pot Still Irish Whiskey,,,,
fbd28c16-ff1a-43b9-9454-9e9ae792c804,Bollinger Special Cuvée,Arp.,78,,0,,,false,,false,,,,,true,true,Bollinger Special Cuvée,,,,
c8e04ff6-0231-4004-8bc2-3fdafc83efe9,Boutinot Mal.bek Rosé,Arp.,18.99,,0,,,false,,false,,,,,true,true,Boutinot Mal.bek Rosé,,,,
35b66a42-4a47-49d1-b4f7-0454f27d3895,Bread and Butter Chardonnay 2023,Arp.,26.95,,0,,,false,,false,,,,,true,true,Bread and Butter Chardonnay 2023,,,,
b909422d-0d72-4b75-87ba-10040502244a,Bread and Butter Pinot Noir 2023,Arp.,26.95,,0,,,false,,false,,,,,true,true,Bread and Butter Pinot Noir 2023,,,,
