Name,Category,Price,Description,Country,Region,Producer,Wine Type,Spirit Type,Beer Style,ABV,Volume (ml)
Midleton Very Rare Barry Crockett,Spirit,340,,Ireland,,Midleton,,Whiskey,,40,700
Glenfiddich 18-Year-Old Single Malt,Spirit,139,,Scotland,Speyside,Glenfiddich,,Whiskey,,40,700
Glenmorangie The Lasanta 12 Years,Spirit,72,,Scotland,Highlands,Glenmorangie,,Whiskey,,43,700
Glenmorangie Quinta Ruban 14 Years,Spirit,77,,Scotland,Highlands,Glenmorangie,,Whiskey,,46,700
Glenmorangie Signet,Spirit,285,,Scotland,Highlands,Glenmorangie,,Whiskey,,46,700
Johnnie Walker Blue Label,Spirit,285,,Scotland,,John Walker & Sons,,Whiskey,,40,700
Midleton Very Rare,Spirit,310,,Ireland,,Midleton,,Whiskey,,40,700
Writer's Tears Double Oak,Spirit,62,,Ireland,,Walsh Whiskey,,Whiskey,,46,700
Writer's Tears Copper Pot,Spirit,42,,Ireland,,Walsh Whiskey,,Whiskey,,40,700
Writer's Tears Red Head,Spirit,76,,Ireland,,Walsh Whiskey,,Whiskey,,46,700
Bushmills Single Malt Irish Whiskey 1995 Marsala Casks,Spirit,495,,Ireland,,Bushmills,,Whiskey,,57.8,700
Tullamore D.E.W. 14-Year-Old Single Malt Irish Whiskey,Spirit,115,,Ireland,,Tullamore D.E.W.,,Whiskey,,41.3,700
Teeling Revival 14-Year-Old Single Malt Irish Whiskey,Spirit,245,,Ireland,,Teeling Whiskey Company,,Whiskey,,46,700
Drumshanbo Single Pot Still Irish Whiskey,Spirit,60,,Ireland,,The Shed Distillery,,Whiskey,,43,700
Planteray Barbados Rum XO 20th Anniversary,Spirit,67.95,,Barbados,,Planteray,,Rum,,40,700
Corralejo Reposado Tequila,Spirit,60,,Mexico,,Tequilera Corralejo,,Tequila,,38,700
Belvedere Vodka,Spirit,62,,Poland,,Belvedere,,Vodka,,40,700
i.Stil Pot Still Vanilla Vodka 38,Spirit,38.95,,Ireland,,i.Stil,,Vodka,,38,700
i.Stil Craft Irish Vodka 38,Spirit,39.5,,Ireland,,i.Stil,,Vodka,,38,700
Grey Goose L'Orange Vodka,Spirit,64,,France,,Grey Goose,,Vodka,,40,700
Grey Goose Vodka,Spirit,62,,France,,Grey Goose,,Vodka,,40,700
Hennessy Very Special Cognac,Spirit,48,,France,Cognac,Hennessy,,Liqueur,,40,700
Moët & Chandon Grand Vintage Rosé 2016,Wine,85,,France,Champagne,Moët & Chandon,Rosé,,,12.5,750
Dom Pérignon Vintage 2013,Wine,295,,France,Champagne,Dom Pérignon,Sparkling,,,12.5,750
Krug Grande Cuvée,Wine,310,,France,Champagne,Krug,Sparkling,,,12.5,750
Bollinger Special Cuvée,Wine,78,,France,Champagne,Bollinger,Sparkling,,,12,750
Moët & Chandon Rosé Impérial,Wine,85,,France,Champagne,Moët & Chandon,Rosé,,,12.5,750
Laurent-Perrier La Cuvée,Wine,85,,France,Champagne,Laurent-Perrier,Sparkling,,,12,750
Ruinart Blanc de Blancs,Wine,124,,France,Champagne,Ruinart,Sparkling,,,12,750
Ruinart Champagne,Wine,80,,France,Champagne,Ruinart,Sparkling,,,12,750
Moët & Chandon Impérial Brut,Wine,69,,France,Champagne,Moët & Chandon,Sparkling,,,12,750
Veuve Clicquot Brut,Wine,65,,France,Champagne,Veuve Clicquot,Sparkling,,,12,750
Laurent-Perrier Cuvée Rosé Brut,Wine,125,,France,Champagne,Laurent-Perrier,Sparkling,,,12,750
Quinta Vale D. Maria Late Bottled Vintage Porto 2016,Wine,38.5,,Portugal,Douro,Quinta Vale D. Maria,Red,,,20,750
A Winter's Tale Medium Sweet Sherry,Wine,20,,Spain,Jerez-Xérès,Williams & Humbert,White,,,19.5,750
Kopke 10 Year Old Tawny Porto,Wine,35,,Portugal,Porto,Kopke,Red,,,20,750
Herradura Tequila Reposado,Spirit,69,,Mexico,,Herradura,,Tequila,,40,700
Jameson Triple Triple Irish Whiskey,Spirit,35,,Ireland,,John Jameson & Son,,Whiskey,,40,700
Jameson Black Barrel Irish Whiskey,Spirit,58,,Ireland,,John Jameson & Son,,Whiskey,,40,700
Diplomatico Reserva Exclusiva Rum,Spirit,60,,Venezuela,,Diplomatico,,Rum,,40,700
Plantation 3 Stars White Rum,Spirit,42.95,,Caribbean,,Maison Ferrand,,Rum,,41.2,700
Jägermeister Herbal Liqueur,Spirit,32,,Germany,,Mast-Jägermeister,,Liqueur,,35,700
The Macallan 12 Year Old Double Cask Single Malt Scotch Whisky,Spirit,120,,Scotland,Speyside,The Macallan,,Whiskey,,40,700
Glenfiddich 12 Year Old Single Malt Scotch Whisky,Spirit,72,,Scotland,Speyside,Glenfiddich,,Whiskey,,40,700
KAH Tequila Reposado,Spirit,77,,Mexico,,KAH,,Tequila,,40,700
Jameson Crested Irish Whiskey,Spirit,45.95,,Ireland,,John Jameson & Son,,Whiskey,,40,700
El Jimador Tequila Blanco,Spirit,42,,Mexico,,El Jimador,,Tequila,,38,700
Redbreast Pedro Ximénez PX Edition Single Pot Still Irish Whiskey,Spirit,105,,Ireland,,Irish Distillers,,Whiskey,,46,700
Drumshanbo Gunpowder Irish Gin,Spirit,47,,Ireland,Drumshanbo,Drumshanbo,,Gin,,43,700
Glendalough Wild Botanical Irish Gin,Spirit,45,,Ireland,Wicklow Mountains,Glendalough,,Gin,,41,700
Tails Cocktails Espresso Martini,Spirit,24,,United Kingdom,,Tails Cocktails,,Liqueur,,14.9,500
Tequila Rose Strawberry Cream Liqueur,Spirit,23.9,,Mexico,,Tequila Rose,,Liqueur,,15,500
Disaronno Originale Amaretto Liqueur,Spirit,34.5,,Italy,,Illva Saronno,,Liqueur,,28,700
Redbreast 21 Year Old Single Pot Still Irish Whiskey,Spirit,275,,Ireland,,Irish Distillers,,Whiskey,,46,700
Ocho Tequila Blanco,Spirit,52,,Mexico,,Ocho,,Tequila,,40,500
Sandeman Porto,Wine,28.99,,Portugal,Porto,Sandeman,Red,,,20,750
Jack Daniel's Old No. 7 Tennessee Whiskey,Spirit,38.95,,USA,Tennessee,Jack Daniel's,,Whiskey,,40,700
Martini Extra Dry Vermouth,Spirit,16.95,,Italy,Torino,Martini & Rossi,,Liqueur,,15,750
Bushmills The Original Irish Whiskey,Spirit,32.5,,Ireland,County Antrim,The Old Bushmills Distillery,,Whiskey,,40,700
Jameson Original Irish Whiskey,Spirit,30.5,,Ireland,,John Jameson & Son,,Whiskey,,40,700
Johnnie Walker Red Label Blended Scotch Whisky,Spirit,34.95,,Scotland,,John Walker & Sons,,Whiskey,,40,700
Johnnie Walker Gold Label Reserve Blended Scotch Whisky,Spirit,95,,Scotland,,John Walker & Sons,,Whiskey,,40,1000
Johnnie Walker Double Black Blended Scotch Whisky,Spirit,105,,Scotland,,John Walker & Sons,,Whiskey,,40,1000
Gin Mare Mediterranean Gin,Spirit,55,,Spain,,Gin Mare,,Gin,,42.7,700
Chambord Black Raspberry Liqueur,Spirit,29,,France,Loire Valley,Chambord,,Liqueur,,16.5,500
Connemara Peated Single Malt Irish Whiskey,Spirit,45.5,,Ireland,,Cooley Distillery,,Whiskey,,40,700
Powers Gold Label Irish Whiskey,Spirit,36.95,,Ireland,,Powers,,Whiskey,,40,700
Bulleit Bourbon Frontier Whiskey,Spirit,43,,USA,Kentucky,Bulleit,,Whiskey,,45,700
Jack Daniel's Gentleman Jack,Spirit,53.5,,USA,Tennessee,Jack Daniel's,,Whiskey,,40,700
Patrón Añejo Tequila,Spirit,110,,Mexico,,Patrón,,Tequila,,40,110
